full_date,product_id,product_name,store_name,total_orders,total_quantity,total_sales
1/1/2020,4,Trek Fuel EX 8 29 - 2016,Santa Cruz Bikes,1,1,2319.99
1/1/2020,8,Trek Remedy 29 Carbon Frameset - 2016,Santa Cruz Bikes,1,2,3347.98
1/1/2020,10,Surly Straggler - 2016,Santa Cruz Bikes,1,2,2943.1
1/1/2020,16,Electra Townie Original 7D EQ - 2016,Santa Cruz Bikes,1,2,1139.98
1/1/2020,20,Electra Townie Original 7D EQ - Women's - 2016,Santa Cruz Bikes,1,1,479.99
1/3/2020,2,Ritchey Timberwolf Frameset - 2016,Santa Cruz Bikes,1,2,1349.98
1/5/2020,7,Trek Slash 8 27.5 - 2016,Santa Cruz Bikes,1,2,7199.98
1/6/2020,4,Trek Fuel EX 8 29 - 2016,Santa Cruz Bikes,1,2,5219.98
1/6/2020,11,Surly Straggler 650b - 2016,Santa Cruz Bikes,1,1,1596.94
1/9/2020,6,Surly Ice Cream Truck Frameset - 2016,Santa Cruz Bikes,1,1,437.09
1/12/2020,5,Heller Shagamaw Frame - 2016,Santa Cruz Bikes,1,1,1188.89
1/12/2020,8,Trek Remedy 29 Carbon Frameset - 2016,Santa Cruz Bikes,2,2,3113.98
1/12/2020,13,Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,1,2,502.18
1/12/2020,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,1,251.09
1/12/2020,20,Electra Townie Original 7D EQ - Women's - 2016,Santa Cruz Bikes,1,2,959.98
1/12/2020,21,Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,1,1,256.49
1/12/2020,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Santa Cruz Bikes,1,1,269.99
1/14/2020,2,Ritchey Timberwolf Frameset - 2016,Santa Cruz Bikes,1,2,1199.98
1/14/2020,7,Trek Slash 8 27.5 - 2016,Santa Cruz Bikes,1,1,3599.99
1/14/2020,9,Trek Conduit+ - 2016,Santa Cruz Bikes,3,5,12989.95
1/14/2020,10,Surly Straggler - 2016,Santa Cruz Bikes,2,3,4321.71
1/14/2020,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,1,256.49
1/14/2020,25,Electra Townie Original 7D - 2015/2016,Santa Cruz Bikes,1,2,949.98
1/16/2020,4,Trek Fuel EX 8 29 - 2016,Santa Cruz Bikes,1,2,5509.98
1/16/2020,13,Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,1,1,215.99
1/16/2020,15,Electra Moto 1 - 2016,Santa Cruz Bikes,1,2,847.98
1/16/2020,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,1,256.49
1/16/2020,23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Santa Cruz Bikes,1,2,539.98
1/21/2020,8,Trek Remedy 29 Carbon Frameset - 2016,Santa Cruz Bikes,1,2,3347.98
1/21/2020,12,Electra Townie Original 21D - 2016,Santa Cruz Bikes,1,2,1022.98
1/21/2020,25,Electra Townie Original 7D - 2015/2016,Santa Cruz Bikes,1,2,899.98
1/23/2020,3,Surly Wednesday Frameset - 2016,Santa Cruz Bikes,1,2,1599.98
1/23/2020,5,Heller Shagamaw Frame - 2016,Santa Cruz Bikes,1,1,1254.94
1/23/2020,9,Trek Conduit+ - 2016,Santa Cruz Bikes,1,1,2789.99
1/27/2020,8,Trek Remedy 29 Carbon Frameset - 2016,Santa Cruz Bikes,1,2,2879.98
1/27/2020,17,Pure Cycles Vine 8-Speed - 2016,Santa Cruz Bikes,1,1,343.2
2/3/2020,25,Electra Townie Original 7D - 2015/2016,Santa Cruz Bikes,1,1,464.99
2/6/2020,4,Trek Fuel EX 8 29 - 2016,Santa Cruz Bikes,1,1,2609.99
2/6/2020,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,2,512.98
2/6/2020,15,Electra Moto 1 - 2016,Santa Cruz Bikes,1,1,492.89
2/6/2020,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,1,215.99
2/7/2020,8,Trek Remedy 29 Carbon Frameset - 2016,Santa Cruz Bikes,1,2,3239.98
2/7/2020,14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,1,251.09
2/7/2020,22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Santa Cruz Bikes,1,2,485.98
2/10/2020,13,Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,1,2,502.18
2/10/2020,17,Pure Cycles Vine 8-Speed - 2016,Santa Cruz Bikes,1,1,386.1
2/12/2020,12,Electra Townie Original 21D - 2016,Santa Cruz Bikes,1,1,522.49
2/12/2020,13,Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,1,2,485.98
2/12/2020,17,Pure Cycles Vine 8-Speed - 2016,Santa Cruz Bikes,1,2,797.94
2/16/2020,20,Electra Townie Original 7D EQ - Women's - 2016,Santa Cruz Bikes,1,1,557.99
2/16/2020,24,Electra Townie Original 21D - 2016,Santa Cruz Bikes,1,2,989.98
2/16/2020,25,Electra Townie Original 7D - 2015/2016,Santa Cruz Bikes,1,1,399.99
2/16/2020,26,Electra Townie Original 7D EQ - 2016,Santa Cruz Bikes,1,1,479.99
2/17/2020,6,Surly Ice Cream Truck Frameset - 2016,Santa Cruz Bikes,1,1,422.99
2/17/2020,9,Trek Conduit+ - 2016,Santa Cruz Bikes,1,2,5399.98
2/17/2020,17,Pure Cycles Vine 8-Speed - 2016,Santa Cruz Bikes,1,2,815.1
2/17/2020,25,Electra Townie Original 7D - 2015/2016,Santa Cruz Bikes,1,2,929.98
2/19/2020,3,Surly Wednesday Frameset - 2016,Santa Cruz Bikes,1,2,1899.98
2/19/2020,20,Electra Townie Original 7D EQ - Women's - 2016,Santa Cruz Bikes,1,1,479.99
2/25/2020,11,Surly Straggler 650b - 2016,Santa Cruz Bikes,1,1,1512.89
2/25/2020,13,Electra Cruiser 1 (24-Inch) - 2016,Santa Cruz Bikes,1,2,502.18
2/25/2020,15,Electra Moto 1 - 2016,Santa Cruz Bikes,1,2,985.78
2/25/2020,25,Electra Townie Original 7D - 2015/2016,Santa Cruz Bikes,1,1,474.99
2/26/2020,2,Ritchey Timberwolf Frameset - 2016,Santa Cruz Bikes,1,1,599.99
2/26/2020,10,Surly Straggler - 2016,Santa Cruz Bikes,1,2,2881.14
