date_key,date_id,full_date,day,month,quarter,year,is_weekend,is_holiday
1,20200101,1/1/2020,1,1,1,2020,0,1
2,20200102,1/2/2020,2,1,1,2020,0,0
3,20200103,1/3/2020,3,1,1,2020,0,0
4,20200104,1/4/2020,4,1,1,2020,1,0
5,20200105,1/5/2020,5,1,1,2020,1,0
6,20200106,1/6/2020,6,1,1,2020,0,0
7,20200107,1/7/2020,7,1,1,2020,0,0
8,20200108,1/8/2020,8,1,1,2020,0,0
9,20200109,1/9/2020,9,1,1,2020,0,0
10,20200110,1/10/2020,10,1,1,2020,0,0
11,20200111,1/11/2020,11,1,1,2020,1,0
12,20200112,1/12/2020,12,1,1,2020,1,0
13,20200113,1/13/2020,13,1,1,2020,0,0
14,20200114,1/14/2020,14,1,1,2020,0,0
15,20200115,1/15/2020,15,1,1,2020,0,0
16,20200116,1/16/2020,16,1,1,2020,0,0
17,20200117,1/17/2020,17,1,1,2020,0,0
18,20200118,1/18/2020,18,1,1,2020,1,0
19,20200119,1/19/2020,19,1,1,2020,1,0
20,20200120,1/20/2020,20,1,1,2020,0,0
21,20200121,1/21/2020,21,1,1,2020,0,0
22,20200122,1/22/2020,22,1,1,2020,0,0
23,20200123,1/23/2020,23,1,1,2020,0,0
24,20200124,1/24/2020,24,1,1,2020,0,0
25,20200125,1/25/2020,25,1,1,2020,1,0
26,20200126,1/26/2020,26,1,1,2020,1,0
27,20200127,1/27/2020,27,1,1,2020,0,0
28,20200128,1/28/2020,28,1,1,2020,0,0
29,20200129,1/29/2020,29,1,1,2020,0,0
30,20200130,1/30/2020,30,1,1,2020,0,0
31,20200131,1/31/2020,31,1,1,2020,0,0
32,20200201,2/1/2020,1,2,1,2020,1,0
33,20200202,2/2/2020,2,2,1,2020,1,0
34,20200203,2/3/2020,3,2,1,2020,0,0
35,20200204,2/4/2020,4,2,1,2020,0,0
36,20200205,2/5/2020,5,2,1,2020,0,0
37,20200206,2/6/2020,6,2,1,2020,0,0
38,20200207,2/7/2020,7,2,1,2020,0,0
39,20200208,2/8/2020,8,2,1,2020,1,0
40,20200209,2/9/2020,9,2,1,2020,1,0
41,20200210,2/10/2020,10,2,1,2020,0,0
42,20200211,2/11/2020,11,2,1,2020,0,0
43,20200212,2/12/2020,12,2,1,2020,0,0
44,20200213,2/13/2020,13,2,1,2020,0,0
45,20200214,2/14/2020,14,2,1,2020,0,0
46,20200215,2/15/2020,15,2,1,2020,1,0
47,20200216,2/16/2020,16,2,1,2020,1,0
48,20200217,2/17/2020,17,2,1,2020,0,0
49,20200218,2/18/2020,18,2,1,2020,0,0
50,20200219,2/19/2020,19,2,1,2020,0,0
51,20200220,2/20/2020,20,2,1,2020,0,0
52,20200221,2/21/2020,21,2,1,2020,0,0
53,20200222,2/22/2020,22,2,1,2020,1,0
54,20200223,2/23/2020,23,2,1,2020,1,0
55,20200224,2/24/2020,24,2,1,2020,0,0
56,20200225,2/25/2020,25,2,1,2020,0,0
57,20200226,2/26/2020,26,2,1,2020,0,0
58,20200227,2/27/2020,27,2,1,2020,0,0
59,20200228,2/28/2020,28,2,1,2020,0,0
60,20200229,2/29/2020,29,2,1,2020,1,0
61,20200301,3/1/2020,1,3,1,2020,1,0
62,20200302,3/2/2020,2,3,1,2020,0,0
63,20200303,3/3/2020,3,3,1,2020,0,0
64,20200304,3/4/2020,4,3,1,2020,0,0
65,20200305,3/5/2020,5,3,1,2020,0,0
66,20200306,3/6/2020,6,3,1,2020,0,0
67,20200307,3/7/2020,7,3,1,2020,1,0
68,20200308,3/8/2020,8,3,1,2020,1,0
69,20200309,3/9/2020,9,3,1,2020,0,0
70,20200310,3/10/2020,10,3,1,2020,0,0
71,20200311,3/11/2020,11,3,1,2020,0,0
72,20200312,3/12/2020,12,3,1,2020,0,0
73,20200313,3/13/2020,13,3,1,2020,0,0
74,20200314,3/14/2020,14,3,1,2020,1,0
75,20200315,3/15/2020,15,3,1,2020,1,0
76,20200316,3/16/2020,16,3,1,2020,0,0
77,20200317,3/17/2020,17,3,1,2020,0,0
78,20200318,3/18/2020,18,3,1,2020,0,0
79,20200319,3/19/2020,19,3,1,2020,0,0
80,20200320,3/20/2020,20,3,1,2020,0,0
