geography_key,city,state
1,Albany,NY
2,Amarillo,TX
3,Amityville,NY
4,Amsterdam,NY
5,Anaheim,CA
6,Apple Valley,CA
7,Astoria,NY
8,Atwater,CA
9,Auburn,NY
10,Bakersfield,CA
11,Baldwin,NY
12,Baldwinsville,NY
13,Ballston Spa,NY
14,Banning,CA
15,Bay Shore,NY
16,Bayside,NY
17,Bellmore,NY
18,Bethpage,NY
19,Brentwood,NY
20,Bronx,NY
21,Brooklyn,NY
22,Buffalo,NY
23,Campbell,CA
24,Canandaigua,NY
25,Canyon Country,CA
26,Carmel,NY
27,Centereach,NY
28,Central Islip,NY
29,Clifton Park,NY
30,Coachella,CA
31,Commack,NY
32,Copperas Cove,TX
33,Coram,NY
34,Corona,NY
35,Corpus Christi,TX
36,Deer Park,NY
37,Depew,NY
38,Desoto,TX
39,Duarte,CA
40,East Elmhurst,NY
41,East Meadow,NY
42,East Northport,NY
43,El Paso,TX
44,Elmhurst,NY
45,Elmont,NY
46,Encino,CA
47,Endicott,NY
48,Euless,TX
49,Fairport,NY
50,Far Rockaway,NY
51,Farmingdale,NY
52,Floral Park,NY
53,Flushing,NY
54,Forest Hills,NY
55,Forney,TX
56,Fort Worth,TX
57,Franklin Square,NY
58,Freeport,NY
59,Fresh Meadows,NY
60,Fresno,CA
61,Fullerton,CA
62,Garden City,NY
63,Garland,TX
64,Glen Cove,NY
65,Glendora,CA
66,Hamburg,NY
67,Harlingen,TX
68,Helotes,TX
69,Hempstead,NY
70,Hicksville,NY
71,Holbrook,NY
72,Hollis,NY
73,Hopewell Junction,NY
74,Houston,TX
75,Howard Beach,NY
76,Huntington,NY
77,Huntington Station,NY
78,Ithaca,NY
79,Jackson Heights,NY
80,Jamaica,NY
81,Jamestown,NY
82,Kingston,NY
83,Lake Jackson,TX
84,Lancaster,NY
85,Lawndale,CA
86,Levittown,NY
87,Lindenhurst,NY
88,Liverpool,NY
89,Lockport,NY
90,Long Beach,NY
91,Longview,TX
92,Los Angeles,CA
93,Los Banos,CA
94,Mahopac,NY
95,Maspeth,NY
96,Massapequa,NY
97,Massapequa Park,NY
98,Mcallen,TX
99,Merrick,NY
100,Middle Village,NY
101,Monroe,NY
102,Monsey,NY
103,Mount Vernon,NY
104,Mountain View,CA
105,Nanuet,NY
106,New City,NY
107,New Hyde Park,NY
108,New Rochelle,NY
109,New Windsor,NY
110,New York,NY
111,Newburgh,NY
112,Niagara Falls,NY
113,North Tonawanda,NY
114,Oakland,CA
115,Oakland Gardens,NY
116,Oceanside,NY
117,Ontario,CA
118,Orchard Park,NY
119,Ossining,NY
120,Oswego,NY
121,Oxnard,CA
122,Ozone Park,NY
123,Palos Verdes Peninsula,CA
124,Patchogue,NY
125,Pittsford,NY
126,Plainview,NY
127,Plattsburgh,NY
128,Pleasanton,CA
129,Pomona,CA
130,Port Chester,NY
131,Port Jefferson Station,NY
132,Port Washington,NY
133,Poughkeepsie,NY
134,Queensbury,NY
135,Redondo Beach,CA
136,Rego Park,NY
137,Richardson,TX
138,Richmond Hill,NY
139,Ridgecrest,CA
140,Rochester,NY
141,Rocklin,CA
142,Rockville Centre,NY
143,Rome,NY
144,Ronkonkoma,NY
145,Rosedale,NY
146,Rowlett,TX
147,Sacramento,CA
148,Saint Albans,NY
149,San Angelo,TX
150,San Antonio,TX
151,San Carlos,CA
152,San Diego,CA
153,San Jose,CA
154,San Lorenzo,CA
155,San Pablo,CA
156,Santa Clara,CA
157,Santa Cruz,CA
158,Santa Monica,CA
159,Saratoga Springs,NY
160,Scarsdale,NY
161,Schenectady,NY
162,Selden,NY
163,Shirley,NY
164,Smithtown,NY
165,South El Monte,CA
166,South Ozone Park,NY
167,South Richmond Hill,NY
168,Spring Valley,NY
169,Springfield Gardens,NY
170,Staten Island,NY
171,Sugar Land,TX
172,Sunnyside,NY
173,Syosset,NY
174,Tonawanda,NY
175,Torrance,CA
176,Troy,NY
177,Uniondale,NY
178,Upland,CA
179,Utica,NY
180,Valley Stream,NY
181,Victoria,TX
182,Vista,CA
183,Wantagh,NY
184,Wappingers Falls,NY
185,Webster,NY
186,West Babylon,NY
187,West Hempstead,NY
188,West Islip,NY
189,Westbury,NY
190,Whitestone,NY
191,Woodhaven,NY
192,Woodside,NY
193,Yonkers,NY
194,Yorktown Heights,NY
195,Yuba City,CA
